"id","age","job","civil","edu","credit","hloan","ploan","ctype","month","day","ccontact","lcdays","pcontact","presult","employment","cprice","cconf","euri3","employees","outcome"
132705,28,"admin.","married","12K","no","yes","no","cellular","may","wed",1,999,1,"failure",-1.8,92.893,-46.2,1.281,5099.1,0
108974,36,"technician","married","apprenticeship","no","yes","no","cellular","aug","wed",1,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,0
126565,40,"management","married","apprenticeship","no","unknown","unknown","cellular","may","tue",2,999,1,"failure",-1.8,92.893,-46.2,1.344,5099.1,0
101660,37,"artisan","married","12K","no","yes","no","telephone","jun","mon",4,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,0
131139,38,"services","married","12K","no","yes","no","telephone","may","thu",1,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,0
119223,52,"services","married","9K","unknown","no","no","telephone","may","thu",3,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,0
112289,34,"technician","single","university","no","yes","no","cellular","jul","thu",1,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,0
114120,56,"admin.","married","university","no","yes","yes","cellular","jul","fri",2,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,0
120069,25,"student","single","12K","no","no","no","cellular","nov","thu",1,999,0,"nonexistent",-1.1,94.767,-50.8,1.041,4963.6,1
129169,45,"artisan","married","4K","unknown","yes","no","cellular","may","tue",2,999,1,"failure",-1.8,92.893,-46.2,1.344,5099.1,0
103019,57,"artisan","married","9K","no","no","no","cellular","mar","fri",1,999,0,"nonexistent",-1.8,93.369,-34.8,0.636,5008.7,0
107181,33,"technician","divorced","apprenticeship","no","no","yes","cellular","aug","mon",1,999,0,"nonexistent",1.4,93.444,-36.1,4.97,5228.1,0
129060,36,"artisan","single","9K","no","no","no","telephone","may","fri",1,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,0
112747,39,"technician","divorced","apprenticeship","no","no","no","cellular","may","wed",8,999,0,"nonexistent",-1.8,92.893,-46.2,1.334,5099.1,0
126621,32,"admin.","single","12K","no","no","no","cellular","may","fri",9,999,0,"nonexistent",-1.8,92.893,-46.2,1.25,5099.1,0
115697,31,"services","single","12K","unknown","no","no","cellular","nov","mon",2,999,1,"failure",-0.1,93.2,-42,4.191,5195.8,0
136344,39,"artisan","married","9K","no","no","no","telephone","may","mon",4,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,0
108166,29,"artisan","married","4K","unknown","yes","yes","telephone","may","wed",4,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,0
112375,36,"admin.","single","12K","no","no","yes","telephone","may","wed",6,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,0
109880,31,"technician","divorced","apprenticeship","no","no","no","cellular","aug","mon",5,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,0
135309,51,"management","married","12K","no","no","no","cellular","aug","tue",1,999,0,"nonexistent",1.4,93.444,-36.1,4.966,5228.1,0
133536,57,"retired","married","12K","no","no","no","cellular","jul","mon",2,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,0
101625,35,"selfemployed","single","university","no","yes","no","cellular","jul","thu",1,999,0,"nonexistent",1.4,93.918,-42.7,4.968,5228.1,0
131237,24,"student","single","12K","no","yes","no","cellular","may","tue",2,999,2,"failure",-1.8,93.876,-40,0.682,5008.7,0
102362,41,"admin.","married","12K","no","yes","yes","cellular","apr","mon",1,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,0
109278,49,"admin.","divorced","12K","no","no","no","cellular","apr","wed",2,999,0,"nonexistent",-1.8,93.749,-34.6,0.642,5008.7,0
119504,53,"retired","married","9K","unknown","yes","no","cellular","jul","fri",2,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,0
139038,34,"services","married","12K","no","no","no","telephone","jun","thu",1,999,0,"nonexistent",1.4,94.465,-41.8,4.866,5228.1,0
122141,32,"services","married","12K","no","no","yes","cellular","apr","fri",2,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,0
119185,42,"admin.","married","9K","no","yes","yes","telephone","may","tue",2,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,0
110052,36,"selfemployed","married","9K","unknown","no","no","cellular","aug","thu",2,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,1
107599,24,"artisan","single","4K","no","yes","yes","cellular","may","thu",1,999,1,"failure",-1.8,92.893,-46.2,1.266,5099.1,0
110071,50,"admin.","married","12K","unknown","yes","yes","telephone","may","fri",1,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,0
133220,43,"admin.","single","university","no","no","yes","cellular","aug","wed",7,999,0,"nonexistent",1.4,93.444,-36.1,4.967,5228.1,1
100368,40,"artisan","married","6K","no","no","no","telephone","jun","mon",2,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,0
127497,26,"artisan","married","9K","no","yes","no","telephone","jun","mon",2,999,0,"nonexistent",1.4,94.465,-41.8,4.958,5228.1,0
128825,34,"technician","single","university","no","yes","no","telephone","jul","thu",5,999,0,"nonexistent",1.4,93.918,-42.7,4.958,5228.1,0
120866,46,"services","divorced","9K","no","unknown","unknown","cellular","may","wed",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.334,5099.1,0
134860,39,"artisan","married","9K","no","no","no","cellular","apr","thu",1,999,1,"failure",-1.8,93.075,-47.1,1.483,5099.1,0
139733,57,"retired","married","4K","no","yes","no","cellular","aug","thu",1,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,0
107739,45,"admin.","divorced","university","no","yes","no","cellular","nov","fri",1,999,1,"failure",-0.1,93.2,-42,4.021,5195.8,0
130155,37,"technician","married","apprenticeship","no","yes","no","telephone","jul","tue",6,999,0,"nonexistent",1.4,93.918,-42.7,4.955,5228.1,0
124770,35,"management","single","12K","no","yes","no","cellular","may","fri",2,999,1,"failure",-1.8,92.893,-46.2,1.313,5099.1,0
114623,48,"services","married","12K","unknown","yes","no","cellular","jul","mon",6,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,0
107042,42,"artisan","married","unknown","no","yes","no","telephone","may","tue",1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,0
107457,31,"admin.","married","12K","no","no","no","cellular","aug","thu",2,999,0,"nonexistent",1.4,93.444,-36.1,4.968,5228.1,0
123242,31,"admin.","divorced","university","no","no","no","cellular","aug","tue",2,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,0
121212,36,"admin.","married","university","no","yes","no","telephone","may","fri",2,999,0,"nonexistent",1.1,93.994,-36.4,4.859,5191,0
132818,37,"admin.","married","12K","no","no","yes","telephone","may","thu",1,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,0
135913,50,"admin.","married","9K","no","no","no","cellular","aug","thu",14,999,0,"nonexistent",1.4,93.444,-36.1,4.962,5228.1,0
131353,38,"artisan","married","9K","unknown","no","no","telephone","jul","wed",3,999,0,"nonexistent",1.4,93.918,-42.7,4.956,5228.1,0
114993,55,"retired","divorced","apprenticeship","no","no","yes","telephone","may","wed",2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,0
117113,57,"artisan","married","9K","unknown","no","no","cellular","jul","fri",1,999,0,"nonexistent",1.4,93.918,-42.7,4.957,5228.1,0
113570,41,"selfemployed","married","apprenticeship","no","yes","no","cellular","aug","fri",3,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,0
134916,31,"artisan","single","12K","no","no","no","cellular","jul","mon",6,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,0
121458,57,"selfemployed","married","university","unknown","yes","no","telephone","jul","mon",1,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,0
118547,41,"artisan","single","9K","no","no","no","telephone","may","thu",1,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,0
129498,28,"services","married","12K","no","yes","no","cellular","jul","thu",6,999,0,"nonexistent",1.4,93.918,-42.7,4.968,5228.1,0
115540,41,"technician","married","6K","no","yes","no","telephone","nov","mon",2,999,0,"nonexistent",-0.1,93.2,-42,4.191,5195.8,0
129570,48,"management","married","university","no","no","yes","telephone","jun","thu",1,999,0,"nonexistent",1.4,94.465,-41.8,4.866,5228.1,0
136202,29,"services","single","12K","no","yes","no","telephone","jun","thu",1,999,0,"nonexistent",1.4,94.465,-41.8,4.866,5228.1,0
132755,35,"artisan","married","9K","unknown","yes","no","cellular","jul","fri",1,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,0
114018,31,"artisan","married","9K","unknown","no","no","cellular","jul","wed",4,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,0
133328,49,"admin.","married","12K","no","yes","no","cellular","nov","fri",2,999,0,"nonexistent",-0.1,93.2,-42,4.021,5195.8,0
120602,36,"technician","married","12K","no","yes","no","cellular","aug","wed",3,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,0
121980,46,"admin.","single","university","no","yes","no","cellular","aug","thu",1,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,0
110946,44,"admin.","divorced","12K","no","yes","no","cellular","jul","thu",2,999,0,"nonexistent",1.4,93.918,-42.7,4.968,5228.1,0
134484,35,"artisan","single","9K","no","yes","no","telephone","may","fri",7,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,0
131012,52,"admin.","married","9K","no","yes","no","cellular","may","wed",2,999,1,"failure",-1.8,92.893,-46.2,1.281,5099.1,0
115442,32,"services","single","apprenticeship","no","yes","no","cellular","jun","tue",1,999,2,"failure",-2.9,92.963,-40.8,1.262,5076.2,0
103792,45,"artisan","married","9K","unknown","no","no","telephone","jun","fri",3,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,1
105845,53,"admin.","divorced","university","no","no","no","telephone","jun","fri",3,999,0,"nonexistent",1.4,94.465,-41.8,4.967,5228.1,0
116882,18,"student","single","unknown","no","yes","yes","telephone","aug","wed",1,999,0,"nonexistent",-1.7,94.027,-38.3,0.9,4991.6,0
112543,36,"technician","married","apprenticeship","no","yes","no","telephone","may","fri",4,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,0
111404,45,"artisan","married","6K","unknown","yes","no","telephone","jun","fri",11,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,0
117588,43,"technician","married","12K","no","no","no","cellular","jul","wed",7,999,0,"nonexistent",1.4,93.918,-42.7,4.957,5228.1,0
133816,46,"admin.","single","university","no","no","yes","cellular","may","mon",6,999,0,"nonexistent",-1.8,92.893,-46.2,1.244,5099.1,0
110934,38,"technician","single","apprenticeship","no","no","no","cellular","may","mon",5,999,0,"nonexistent",-1.8,92.893,-46.2,1.244,5099.1,0
138264,34,"management","married","university","no","no","no","cellular","jul","wed",2,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,0
135178,33,"admin.","married","university","no","yes","no","cellular","sep","thu",2,999,0,"nonexistent",-1.1,94.199,-37.5,0.878,4963.6,1
105848,36,"admin.","married","university","no","no","no","cellular","aug","mon",3,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,0
104557,34,"management","single","university","no","no","no","telephone","may","tue",1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,0
137472,48,"services","married","9K","no","yes","no","cellular","jul","wed",1,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,0
137635,32,"artisan","married","9K","no","yes","no","cellular","may","tue",2,999,0,"nonexistent",-1.8,92.893,-46.2,1.291,5099.1,0
129470,48,"admin.","single","12K","no","yes","no","telephone","may","wed",2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,0
126551,35,"admin.","married","university","no","yes","no","cellular","oct","wed",1,999,0,"nonexistent",-3.4,92.431,-26.9,0.724,5017.5,0
101444,36,"admin.","single","university","no","yes","no","cellular","nov","wed",1,999,0,"nonexistent",-0.1,93.2,-42,4.12,5195.8,0
132179,33,"admin.","married","university","no","no","no","cellular","jul","mon",2,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,0
136795,30,"services","married","12K","unknown","yes","no","telephone","may","mon",1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,0
129500,34,"admin.","single","university","no","yes","no","cellular","mar","tue",2,999,0,"nonexistent",-1.8,93.369,-34.8,0.652,5008.7,0
126243,37,"artisan","married","6K","no","yes","yes","cellular","mar","thu",2,999,0,"nonexistent",-1.8,92.843,-50,1.538,5099.1,0
131778,40,"management","single","university","no","no","no","cellular","nov","fri",3,999,0,"nonexistent",-0.1,93.2,-42,4.021,5195.8,0
120995,46,"admin.","single","university","no","no","no","cellular","may","mon",1,999,1,"failure",-1.8,92.893,-46.2,1.264,5099.1,1
103145,59,"retired","divorced","university","no","yes","yes","cellular","aug","wed",1,999,0,"nonexistent",-2.9,92.201,-31.4,0.884,5076.2,0
109532,37,"artisan","married","apprenticeship","no","no","no","cellular","may","mon",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.244,5099.1,0
139484,79,"retired","married","12K","no","unknown","unknown","cellular","jun","tue",1,999,1,"failure",-2.9,92.963,-40.8,1.262,5076.2,0
138611,51,"services","married","4K","no","yes","no","cellular","jul","fri",1,999,0,"nonexistent",1.4,93.918,-42.7,4.957,5228.1,0
113929,50,"admin.","married","6K","no","no","no","cellular","aug","tue",1,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,0
125995,47,"admin.","married","university","unknown","yes","no","cellular","aug","mon",1,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,0
117088,39,"management","married","university","no","no","no","telephone","jun","fri",5,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,0
131228,60,"retired","married","6K","no","yes","no","cellular","apr","mon",2,999,1,"failure",-1.8,93.075,-47.1,1.405,5099.1,0
114259,39,"services","married","university","no","yes","no","cellular","apr","thu",1,999,0,"nonexistent",-1.8,93.075,-47.1,1.365,5099.1,0
104084,49,"admin.","single","6K","no","yes","yes","cellular","apr","fri",2,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,0
116891,33,"housemaid","divorced","apprenticeship","no","yes","no","cellular","aug","thu",1,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,0
104346,28,"services","married","12K","no","no","no","telephone","may","mon",4,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,1
138855,47,"technician","married","apprenticeship","no","yes","no","cellular","jul","thu",33,999,0,"nonexistent",1.4,93.918,-42.7,4.968,5228.1,0
124263,43,"technician","single","university","no","no","yes","cellular","nov","fri",5,999,0,"nonexistent",-3.4,92.649,-30.1,0.714,5017.5,0
110048,52,"entrepreneur","married","university","unknown","yes","no","cellular","jul","tue",3,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,0
117280,71,"retired","married","4K","no","yes","yes","cellular","oct","tue",1,6,1,"success",-3.4,92.431,-26.9,0.728,5017.5,0
101684,32,"admin.","single","university","no","yes","yes","cellular","aug","fri",7,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,0
128747,29,"admin.","single","university","no","no","yes","cellular","may","tue",2,3,1,"success",-1.8,92.893,-46.2,1.266,5099.1,0
136019,44,"admin.","divorced","12K","no","no","no","telephone","jun","tue",4,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,0
138504,46,"technician","married","12K","no","yes","no","cellular","nov","mon",1,999,0,"nonexistent",-0.1,93.2,-42,4.191,5195.8,0
112569,51,"technician","married","apprenticeship","no","no","yes","cellular","dec","mon",2,999,0,"nonexistent",-3,92.713,-33,0.709,5023.5,1
121341,55,"technician","married","9K","no","yes","no","telephone","jun","tue",2,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,0
141163,52,"admin.","single","4K","no","no","no","cellular","may","mon",4,999,0,"nonexistent",-1.8,92.893,-46.2,1.299,5099.1,0
119556,56,"retired","married","4K","no","no","no","cellular","aug","tue",2,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,1
138762,57,"retired","single","12K","no","no","no","telephone","may","mon",2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,0
113213,43,"artisan","married","9K","unknown","no","no","telephone","may","fri",2,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,1
125492,46,"management","married","university","unknown","yes","no","telephone","may","thu",3,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,0
110753,45,"artisan","single","6K","no","yes","no","telephone","may","wed",5,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,0
116375,44,"management","single","university","unknown","yes","no","telephone","may","mon",4,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,1
113758,27,"admin.","married","apprenticeship","no","yes","no","cellular","may","thu",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.266,5099.1,0
114917,51,"artisan","divorced","9K","no","no","no","telephone","may","thu",2,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,0
100288,30,"artisan","single","4K","unknown","no","yes","telephone","jun","mon",1,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,0
132884,34,"admin.","single","12K","no","yes","no","cellular","jul","fri",1,999,0,"nonexistent",1.4,93.918,-42.7,4.957,5228.1,0
110806,29,"unemployed","single","university","no","yes","no","cellular","jul","tue",1,999,0,"nonexistent",-2.9,92.469,-33.6,1.044,5076.2,0
109949,22,"artisan","single","9K","no","yes","no","cellular","jul","mon",3,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,0
122359,37,"artisan","married","6K","no","no","yes","cellular","may","wed",5,999,0,"nonexistent",-1.8,92.893,-46.2,1.281,5099.1,0
114433,35,"housemaid","married","4K","no","no","no","telephone","may","fri",2,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,0
140299,41,"artisan","married","4K","no","yes","yes","cellular","may","thu",2,999,0,"nonexistent",-1.8,92.893,-46.2,1.266,5099.1,0
105997,27,"services","single","12K","unknown","no","no","telephone","may","fri",2,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,0
113316,43,"technician","married","6K","no","yes","no","telephone","may","wed",3,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,0
123668,30,"admin.","single","12K","no","no","no","cellular","aug","fri",1,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,0
109195,36,"admin.","single","university","no","no","no","cellular","nov","wed",1,999,1,"failure",-0.1,93.2,-42,4.12,5195.8,0
131798,32,"artisan","married","9K","unknown","no","no","telephone","jul","tue",5,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,0
107244,37,"management","married","university","no","yes","no","cellular","oct","thu",3,3,3,"success",-1.1,94.601,-49.5,1.025,4963.6,1
130519,30,"services","single","12K","no","yes","no","cellular","may","fri",11,999,0,"nonexistent",-1.8,92.893,-46.2,1.25,5099.1,0
126701,39,"artisan","married","9K","no","no","no","telephone","jun","mon",2,999,0,"nonexistent",1.4,94.465,-41.8,4.865,5228.1,0
127908,39,"artisan","single","4K","no","yes","no","cellular","may","tue",1,999,1,"failure",-1.8,92.893,-46.2,1.291,5099.1,0
114328,59,"admin.","married","university","no","yes","no","cellular","aug","tue",1,999,0,"nonexistent",1.4,93.444,-36.1,4.968,5228.1,0
137740,46,"artisan","married","9K","no","yes","no","cellular","aug","mon",3,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,0
134908,30,"student","single","university","no","yes","yes","telephone","apr","mon",1,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,0
115530,39,"artisan","married","9K","no","no","no","telephone","may","wed",1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,0
116030,31,"technician","single","9K","unknown","no","no","telephone","may","fri",2,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,0
109877,25,"admin.","married","university","no","yes","no","cellular","jul","thu",5,999,0,"nonexistent",1.4,93.918,-42.7,4.968,5228.1,0
108637,35,"entrepreneur","divorced","university","no","no","no","cellular","nov","wed",4,999,0,"nonexistent",-0.1,93.2,-42,4.12,5195.8,0
112799,53,"retired","married","12K","no","no","no","cellular","nov","fri",3,999,0,"nonexistent",-0.1,93.2,-42,4.021,5195.8,0
134617,48,"selfemployed","married","12K","no","yes","no","cellular","aug","fri",1,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,0
130813,55,"technician","married","6K","no","yes","no","telephone","may","tue",2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,0
100573,41,"admin.","married","12K","unknown","no","no","cellular","may","fri",3,999,0,"nonexistent",-1.8,92.893,-46.2,1.25,5099.1,0
